A_Slow,B_Slow,A_Fast,B_Fast
-0.08750553176072834,0.0010256231459592655,-0.0029593658107075027,0.01054507194205474
,,,
,,,
-0.0446615043368624,0.0010516675408586106,-0.08099255882733589,0.018202551690754524
-0.049943221174776155,0.0008098870855355827,-0.03879271283184666,0.023990028539068453
-0.05476162252187555,0.000956328027661365,-0.060008773418185786,0.022684844148983044
-0.062030271388369945,0.0013236397074141144,-0.060815068586563756,0.0290511340791594
-0.06941290109272985,0.0006591953282870607,-0.036830016398769205,0.024624994149255505
,,,
,,,
-0.02534630661919424,0.0005374592365264463,-0.054224844605654986,0.017588348484271103
-0.07038998473122586,0.0008075266921404049,-0.07239882338888112,0.024021603110119062
-0.04029992176035765,0.0004424404838846014,-0.06672634488694264,0.022551368323756118
,,,
,,,
-0.006830055688696599,0.001139159389898615,-0.09214220263652174,0.02809649562578218
